,#,Title,Fork Score,Release Date,Accolades,Notes,Topic,Guest 1,Guest 2,Guest 3,Guest 4
568,BC9,Live at BugCon 2021 with Eva Anderson,,"September 20, 2021",The Bread Cast,,Live at BugCon 2021,Eva Anderson,,,
569,DD,U Talkin' DMB Live To Me? with Dano,,"September 21, 2021",,,U Talkin' DMB Live To Me?,Dano,,,
570,319,Charleys Philly Steaks with Derek Waters,2.75,"September 23, 2021",,Donut Salad,Charleys Philly Steaks,Derek Waters,,,
571,DD,Biggie Feedbag XXXIII,,"September 28, 2021",📬,,,,,,
572,320,Insomnia Cookies with Mary Sohn,4.67,"September 30, 2021",Golden Plate Club,,Insomnia Cookies,Mary Sohn,,,
573,DD,Snoop Dogg Sommeliers,,"October 5, 2021",🐶🌭,Dogdoughbarkfest,,,,,
574,321,Sonic Drive-In with Matt Apodaca,5.00,"October 7, 2021",🐶🌭 Platinum Plate Club,Dogdoughbarkfest,Sonic Drive-In,Matt Apodaca,,,
575,DD,Mount Ruffmore with Christine Nangle,,"October 12, 2021",🐶🌭,Dogdoughbarkfest,Mount Ruffmore,Christine Nangle,,,
576,322,Costco 2 with Excalibur,4.17,"October 14, 2021",🐶🌭,Dogdoughbarkfest; score adjusted in ep. 323,Costco 2,Excalibur,,,
577,DD,Dogs in the House with Jason Sheridan,,"October 19, 2021",🐶🌭,Dogdoughbarkfest,Dogs in the House,Jason Sheridan,,,
578,323,AMC Theatres with Adam Gertler,4.00,"October 21, 2021",🐶🌭 Golden Plate Club,Dogdoughbarkfest,AMC Theatres,Adam Gertler,,,
579,DD,Hey Spooky Buddies with Paul Rust,,"October 26, 2021",🐶🌭,Dogdoughbarkfest; Dinner is the Movie,Hey Spooky Buddies,Paul Rust,,,
580,324,"Nathan's Famous with Jon Gabrus, Mike Hanford & Griffin Newman (live)",3.10,"October 28, 2021",🐶🌭,Dogdoughbarkfest; live in New York City,Nathan's Famous,"Jon Gabrus, Mike Hanford",Griffin Newman (live),,
581,DD,Biggie Feedbag XXXIV,,"November 2, 2021",📬,,,,,,
582,325,800 Degrees with Betsy Sodaro,4.25,"November 4, 2021",Golden Plate Club,,800 Degrees,Betsy Sodaro,,,
583,DD,The Twilight Calzone with Neil Campbell,,"November 9, 2021",👨‍✈️📺,Doughboys Pilot Program: The Twilight Zone,The Twilight Calzone,Neil Campbell,,,
584,326,Kreation Organic with Jackie Johnson,2.67,"November 11, 2021",,,Kreation Organic,Jackie Johnson,,,
585,DD,The Fluff with Jesse Farrar and Mike Hale,,"November 16, 2021",,Marshmallow Fluff/Creme,The Fluff,Jesse Farrar and Mike Hale,,,
586,327,The Capital Grille with Negin Farsad,4.53,"November 18, 2021",Golden Plate Club,also with Mrs. Mitchell and David Phillips,The Capital Grille,Negin Farsad,,,
587,DD,Mash-Off 4: The Dream Mashter with Eva Anderson and Mike Hanford,,"November 23, 2021",🥔,,Mash-Off 4: The Dream Mashter,Eva Anderson and Mike Hanford,,,
588,DD,Feeding Raindough: The Second Chapter with Marc Doofson,,"November 30, 2021",🌈,,Feeding Raindough: The Second Chapter,Marc Doofson,,,
589,328,Umami Burger 3 with Judd Apatow,4.00,"December 2, 2021",,,Umami Burger 3,Judd Apatow,,,
590,DD,Man Bites Dog,,"December 7, 2021",🔍,Doughvestigation by Evan Susser and Emma Erdbrink,,,,,
591,329,McPlant with Eric Edelstein,4.33,"December 9, 2021",Golden Plate Club,just the burger rated,McPlant,Eric Edelstein,,,
592,DD,A Muppets (and Doughboys) Family Christmas with Scott Gairdner and Mike Carlson,,"December 14, 2021",Dinner is the Movie,A Muppet Family Christmas,A Muppets (and Doughboys) Family Christmas,Scott Gairdner and Mike Carlson,,,
593,330,Monty's Good Burger with Evan Susser,4.58,"December 16, 2021",🥩🥤,,Monty's Good Burger,Evan Susser,,,
594,DD,The Mitchy Clause,,"December 22, 2021",🎄 🔓,Doughboys Holiday Special,,,,,
595,DD,The Doughboys Delivery Line 3,,"December 28, 2021",☎️,,,,,,
596,DD,The Drop-Off 2: Holiday Edition with Emma Erdbrink and Robert Persinger,,"January 4, 2022",🎄🚽,,The Drop-Off 2: Holiday Edition,Emma Erdbrink and Robert Persinger,,,
597,331,Lemonade with Jessica McKenna,3.58,"January 6, 2022",,,Lemonade,Jessica McKenna,,,
598,DD,Water 3: Snow with Alana Johnston 🔪,,"January 11, 2022",💧,,Water 3: Snow,Alana Johnston 🔪,,,
599,332,QDOBA with Jamelle Bouie,3.13,"January 13, 2022",,,QDOBA,Jamelle Bouie,,,
600,DD,Golden Girls with Betsy Sodaro,,"January 18, 2022",👨‍✈️📺,Doughboys Pilot Program,Golden Girls,Betsy Sodaro,,,
601,333,Thighstop with Jon Gabrus,3.83,"January 20, 2022",,live stream show on Twitch,Thighstop,Jon Gabrus,,,
602,DD,Biggie Feedbag XXXV with Yusong Liu,,"January 25, 2022",📬,with Emma Erdbrink and Robert Persinger,Biggie Feedbag XXXV,Yusong Liu,,,
603,334,Sweet Chick with Tami Sagher,4.50,"January 27, 2022",Golden Plate Club,,Sweet Chick,Tami Sagher,,,
604,DD,The Scale 2: The Ruler,,"February 1, 2022",📏,with Emma Erdbrink,,Emma Erdbrink,,,
605,335,KFC Beyond with Mike Sacks,3.67,"February 3, 2022",,,KFC Beyond,Mike Sacks,,,
606,DD,Yellowjackets with Oscar Montoya,,"February 8, 2022",👨‍✈️📺,Doughboys Pilot Porgram,Yellowjackets,Oscar Montoya,,,
607,336,Smashburger with Carlos Santos,2.44,"February 10, 2022",,,Smashburger,Carlos Santos,,,
608,DD,Pig (the movie) with David Sims,,"February 15, 2022",🍿,,Pig (the movie),David Sims,,,
609,337,Din Tai Fung with Farley Elliott,5.33,"February 17, 2022",Platinum Plate Club,,Din Tai Fung,Farley Elliott,,,
610,DD,Biggie Feedbag XXXVI with Yusong Liu,,"February 22, 2022",📬,,Biggie Feedbag XXXVI,Yusong Liu,,,
611,338,Tyga Bites with John Hodgman & David Rees,0.28,"February 24, 2022",Broken Plate Club,,Tyga Bites,John Hodgman,David Rees,,
612,DD,Charleys Philly Steaks vs. Firehouse Subs with Alison Rosen,Winner: Firehouse Subs,"March 1, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Hot Cross Buns region,Charleys Philly Steaks vs. Firehouse Subs,Alison Rosen,,,
613,339,Jimmy John's vs. Jersey MIke's with Mano Agapion & Betsy Sodaro,Winner: Jersey Mike's,"March 3, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal Eponymous region,Jimmy John's vs. Jersey MIke's,Mano Agapion,Betsy Sodaro,,
614,DD,Arby's vs. Panera with Jennie Pierson,Winner: Arby's,"March 8, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Nonstandard region,Arby's vs. Panera,Jennie Pierson,,,
615,340,Subway vs. 7-Eleven with Lauren Lapkus,Winner: Subway,"March 10, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Desperation region,Subway vs. 7-Eleven,Lauren Lapkus,,,
616,DD,Jimmy John's vs. Panera with Spencer Crittenden,Winner: ??,"March 15, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Fat Chance Kitchen,Jimmy John's vs. Panera,Spencer Crittenden,,,
617,341,Firehouse Subs vs. Jersey Mike's with Carl Tart & Lamar Woods,Winner: Jersey Mike's,"March 17, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Semi-soft Finals,Firehouse Subs vs. Jersey Mike's,Carl Tart,Lamar Woods,,
618,DD,Firehouse Subs vs. ??? with Toni Charline Ramos,Winner: Capriotti's,"March 22, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Fat Chance Kitchen,Firehouse Subs vs. ???,Toni Charline Ramos,,,
619,342,Subway vs. Arby's with Jen D'Angelo,Winner: Arby's,"March 24, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Semi-soft Finals,Subway vs. Arby's,Jen D'Angelo,,,
620,DD,Capriotti's vs. Quiznos with The Sloppy Boys,Winner: Capriotti's,"March 29, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Fat Chance Kitchen,Capriotti's vs. Quiznos,The Sloppy Boys,,,
621,343,Arby's vs. Capriotti's vs. Jersey Mike's with Michael Cassady and Paul Rust,Winner: Jersey Mike's,"March 31, 2022",🥪,Munch Madness 2022: Tournament of Chompions: Hero's Journey: Sub-Optimal: Finale (live),Arby's vs. Capriotti's vs. Jersey Mike's,Michael Cassady and Paul Rust,,,
622,DD,Live Feedbag with Yusong Liu and Evan Susser,,"April 5, 2022",📬,,Live Feedbag,Yusong Liu and Evan Susser,,,
623,344,Veggie Grill with Mary Sasson,4.00,"April 7, 2022",Golden Plate Club,,Veggie Grill,Mary Sasson,,,
624,DD,Alphabet Draft with Emma Erdbrink and Amelia Marino,,"April 12, 2022",,,Alphabet Draft,Emma Erdbrink and Amelia Marino,,,
625,345,True Food Kitchen with Claudia O'Doherty,2.75,"April 14, 2022",,,True Food Kitchen,Claudia O'Doherty,,,
626,DD,Game of Thrones with Tony Thaxton,,"April 19, 2022",👨‍✈️📺,Doughboys Pilot Program,Game of Thrones,Tony Thaxton,,,
627,346,Popeyes 4 with Van Robichaux,5.00,"April 21, 2022",Platinum Plate Club,also with Bug Mane,Popeyes 4,Van Robichaux,,,
628,DD,Doughpo Chico with Doug Jones,,"April 26, 2022",,Topo Chicos,Doughpo Chico,Doug Jones,,,
629,347,Bojangles with Jesse Farrar and Mike Hale (live),4.25,"April 28, 2022",🎤 Golden Plate Club,"live in Nashville, TN",Bojangles,Jesse Farrar and Mike Hale (live),,,
630,DD,Biggie Feedbag XXXVII with Yusong Liu,,"May 3, 2022",📬,,Biggie Feedbag XXXVII,Yusong Liu,,,
631,348,Cornish Pasty with Jon Gabrus (live),4.83,"May 5, 2022",🎤 Golden Plate Club,"live in Phoenix, AZ",Cornish Pasty,Jon Gabrus (live),,,
632,DD,Boba with Tansu Philip,,"May 10, 2022",,,Boba,Tansu Philip,,,
633,349,Burgerville with Jordan Morris and Bill Oakley (live),4.00,"May 12, 2022",🎤 Golden Plate Club,"live in Portland, OR",Burgerville,Jordan Morris and Bill Oakley (live),,,
634,DD,Flamin' Hot Doritos with Arden Myrin,,"May 17, 2022",,,Flamin' Hot Doritos,Arden Myrin,,,
635,350,D'Angelo with Jon Gabrus and Carl Tart (live),4.72,"May 19, 2022",🎤 Golden Plate Club,"live in Ledyard, CT",D'Angelo,Jon Gabrus and Carl Tart (live),,,
636,DD,Peanuts & Coke with Norm Sousa,,"May 24, 2022",,,Peanuts & Coke,Norm Sousa,,,
637,351,Kelly's Roast Beef with Jon Gabrus and Carl Tart (live),3.78,"May 26, 2022",🎤,"live in Boston, MA",Kelly's Roast Beef,Jon Gabrus and Carl Tart (live),,,
638,DD,"App, Crap, or Slap",,"May 31, 2022",,,,,,,
639,352,Bertucci's with Jon Gabrus and Carl Tart (live),3.44,"June 2, 2022",🎤,"live in Boston, MA",Bertucci's,Jon Gabrus and Carl Tart (live),,,
640,DD,Biggie Feedbag XXXVIII with Yusong Liu,,"June 7, 2022",📬,,Biggie Feedbag XXXVIII,Yusong Liu,,,
641,353,Dave's Hot Chicken with Joe Randazzo,4.08,"June 9, 2022",Golden Plate Club,score revised in later episode,Dave's Hot Chicken,Joe Randazzo,,,
642,DD,Top Gun: Maverick,,"June 14, 2022",🍽️🎥,Dinner is the Movie,,,,,
643,354,El Farolito with Mookie Blaiklock (live),5.00,"June 16, 2022",🎤,"live in San Francisco, CA",El Farolito,Mookie Blaiklock (live),,,
644,DD,Star Trek: The Next Generation with Jack Allison,,"June 21, 2022",👨‍✈️📺,Doughboys Pilot Program,Star Trek: The Next Generation,Jack Allison,,,
645,355,Ivar's Acres of Clams with Mookie Blaiklock (live),1.83,"June 23, 2022",🎤 Broken Plate Club,"live in Seattle, WA",Ivar's Acres of Clams,Mookie Blaiklock (live),,,
646,DD,Travel Draft with Evan Susser,,"June 28, 2022",,,Travel Draft,Evan Susser,,,
647,356,Dough Zone with Mookie Blaiklock (live),5.00,"June 30, 2022",🎤 Platinum Plate Club,"live in Seattle, WA; with The Drop King",Dough Zone,Mookie Blaiklock (live),,,
648,DD,Biggie Feedbag XXXIX with Yusong Liu,,"July 5, 2022",📬,also with Emma Erdbrink,Biggie Feedbag XXXIX,Yusong Liu,,,
649,357,Raising Cane's Chicken Fingers 2 with John Early,4.00,"July 7, 2022",,,Raising Cane's Chicken Fingers 2,John Early,,,
650,DD,7/11 Challenge with Alana Johnston 🔪,,"July 12, 2022",,,7/11 Challenge,Alana Johnston 🔪,,,
651,358,Burger King 6 with Jon Gabrus & Adam Pally,2.63,"July 14, 2022",,,Burger King 6,Jon Gabrus,Adam Pally,,
652,DD,Minions: The Rise of Gru with Jen D'Angelo,,"July 19, 2022",🍽️🎥,Gru Week: Dinner is the Movie,Minions: The Rise of Gru,Jen D'Angelo,,,
653,359,IHOP 5: Minions Menu with Shaun Diston,4.67,"July 21, 2022",Golden Gru's Lab Club,Gru Week,IHOP 5: Minions Menu,Shaun Diston,,,
654,DD,"Thank You, Thank You Very Munch",,"July 26, 2022",,Elvis,,,,,
655,360,Pizza Hut 3 with Brendan James,1.67,"July 28, 2022",Broken Plate Club,,Pizza Hut 3,Brendan James,,,
656,DD,Biggie Feedbag XL: Let's Make It Worse with Yusong Liu,,"August 2, 2022",📬,with Emma Erdbrink and Amelia Marino,Biggie Feedbag XL: Let's Make It Worse,Yusong Liu,,,
657,361,Nothing Bundt Cakes with Becky Feldman,3.92,"August 4, 2022",,,Nothing Bundt Cakes,Becky Feldman,,,
658,DD,Slop Quiz Hotshot,,"August 9, 2022",,with Emma Erdbrink,,Emma Erdbrink,,,
659,362,Sweetgreen 2 with Emmy Blotnick,3.92,"August 11, 2022",,,Sweetgreen 2,Emmy Blotnick,,,
660,DD,Cereal with Jamelle Bouie,,"August 16, 2022",,,Cereal,Jamelle Bouie,,,
661,363,Kopp's Frozen Custard with Marisa Pinson (live),4.50,"August 18, 2022",🎤 Golden Plate Club,"live in Milwaukee, WI",Kopp's Frozen Custard,Marisa Pinson (live),,,
662,DD,Ocean Draft,,"August 23, 2022",,,,,,,
663,364,Buddy's Detroit-Style Pizza with Marisa Pinson (live),4.83,"August 25, 2022",🎤 Golden Plate Club,"live in Detroit, MI",Buddy's Detroit-Style Pizza,Marisa Pinson (live),,,
664,DD,"Diners, Drive-Ins and Dives with Ben Axelrad",,"August 30, 2022",👨‍✈️📺,Doughboys Pilot Program,"Diners, Drive-Ins and Dives",Ben Axelrad,,,
665,365,Cold Stone Nintendo with Heather Anne Campbell and Matt Apodaca,1.38,"September 1, 2022",Broken Plate Club,,Cold Stone Nintendo,Heather Anne Campbell and Matt Apodaca,,,
666,DD,Biggie Feedbag XLI: Let's Make It Worse with Yusong Liu,,"September 6, 2022",📬,,Biggie Feedbag XLI: Let's Make It Worse,Yusong Liu,,,
667,366,Hot Dog On A Stick with Paul F. Tompkins,4.00,"September 8, 2022",Golden Plate Club,,Hot Dog On A Stick,Paul F. Tompkins,,,
668,DD,Dark Side of the Spoon,,"September 13, 2022",📻,Pink Floyd,,,,,
669,367,Pressed with Arden Myrin,4.33,"September 15, 2022",Golden Plate Club,,Pressed,Arden Myrin,,,
670,DD,Burning Man with Jordan Morris,,"September 20, 2022",,,Burning Man,Jordan Morris,,,
671,368,Fat Sal's with Matt Christman,2.50,"September 22, 2022",,,Fat Sal's,Matt Christman,,,
672,SP1,Favorite SnackPack Flavors!,,"September 22, 2022",Snack Pack,with Ben Simpson and Bill Oakley,,Ben Simpson and Bill Oakley,,,
673,DD,Bad Commercial Beers with Brandon Sornberger,,"September 27, 2022",,,Bad Commercial Beers,Brandon Sornberger,,,
674,369,Fazoli's with Mitra Jouhari,4.00,"September 29, 2022",Golden Plate Club,,Fazoli's,Mitra Jouhari,,,
675,SP2,"""I Like To Eat, Eat, Eat Apples and Bananas!""",,"September 29, 2022",Snack Pack,"with Amelia Marino, Phish671, and Robert Persinger",,Amelia Marino,Phish671,and Robert Persinger,
676,DD,Muppet Treasure Island with Griffin Newman,,"October 4, 2022",🏴‍☠️☠️,Yarrrctdoughbarrrchest; Dinner is the Movie,Muppet Treasure Island,Griffin Newman,,,
677,370,Pirate's Booty with John Hodgman,2.42,"October 6, 2022",🏴‍☠️☠️,Yarrrctdoughbarrrchest,Pirate's Booty,John Hodgman,,,
678,SP3,Ding Dongs or Twinkies?,,"October 6, 2022",Snack Pack,"co-host Jon Gabrus; with Emma Erdbrink, Corinne Mitchell, Courtney Mitchell, and Mike Mitchell",,,,,
679,DD,Pirates of the Caribbean Ride with Kyle Mooney,5.00,"October 11, 2022",🏴‍☠️☠️ 🔓,Yarrrctdoughbarrrchest,Pirates of the Caribbean Ride,Kyle Mooney,,,
680,371,Pirates Dinner Adventure with Eva Anderson,2.67,"October 13, 2022",🏴‍☠️☠️,Yarrrctdoughbarrrchest; also with Jeff Budner,Pirates Dinner Adventure,Eva Anderson,,,
681,SP4,Apple Cider Donuts!,,"October 13, 2022",Snack Pack,with Corinne Mitchell,,Corinne Mitchell,,,
682,DD,Grog with The Sloppy Boys,,"October 18, 2022",🏴‍☠️☠️,"Yarrrctdoughbarrrchest; with Mike Hanford, Tim Kalpakis, Jefferson Dutton, Corrine Mitchell",Grog,The Sloppy Boys,,,
683,372,Long John Silver's with Mano Agapion and Betsy Sodaro,3.25,"October 20, 2022",🏴‍☠️☠️,Yarrrctdoughbarrrchest,Long John Silver's,Mano Agapion and Betsy Sodaro,,,
684,SP5,Pumpkin Spice and Everything Nice,,"October 20, 2022",Snack Pack,,,,,,
685,DD,Garfield's Halloween Adventure with Paul Rust,🔓,"October 25, 2022",🏴‍☠️☠️,Yarrrctdoughbarrrchest,Garfield's Halloween Adventure,Paul Rust,,,
686,373,Blue Bayou with Podcast the Ride,4.08,"October 27, 2022",🏴‍☠️☠️,"Yarrrctdoughbarrrchest; with Jason Sheridan, Mike Carlson, Scott Gairdner, Kyle Mooney, Jen D'Angelo",Blue Bayou,Podcast the Ride,,,
687,SP6,Halloween Candy!,,"October 27, 2022",Snack Pack,with Mookie Blaiklock,,Mookie Blaiklock,,,
688,DD,Biggie Feedbag XLII with Yusong Liu,,"November 1, 2022",📬,🦃,Biggie Feedbag XLII,Yusong Liu,,,
689,374,The Butcher's Daughter with Zach Cherry,4.42,"November 3, 2022",Golden Plate Club,,The Butcher's Daughter,Zach Cherry,,,
690,SP7,Fritos!,,"November 3, 2022",Snack Pack,,,,,,
691,DD,Mascot Draft with Fran Gillespie,,"November 8, 2022",💬,Doughscord Doughcision,Mascot Draft,Fran Gillespie,,,
692,375,Subway Breakfast with Lily Sullivan,2.50,"November 10, 2022",,,Subway Breakfast,Lily Sullivan,,,
693,SP8,Pop-Tarts!,,"November 10, 2022",Snack Pack,,,,,,
694,DD,"Planes, Trains & Audoughmobiles with Mookie Blaiklock",,"November 15, 2022",🍽️🎥,"Dinner is the Movie: Planes, Trains & Automobiles","Planes, Trains & Audoughmobiles",Mookie Blaiklock,,,
695,376,Eataly with Griffin Newman and David Sims,4.38,"November 17, 2022",Golden Plate Club,,Eataly,Griffin Newman and David Sims,,,
696,SP9,Chicken Sandwiches,,"November 17, 2022",Snack Pack,Wingstop Chicken Sandwich,,,,,
697,DD,Mash-Off 5: The Revenge of Michael Mashters with Eva Anderson and Mike Hanford,,"November 22, 2022",🥔,,Mash-Off 5: The Revenge of Michael Mashters,Eva Anderson and Mike Hanford,,,
698,DD,Holiday Song Draft with Inessa Frantowski,,"November 29, 2022",☃️,,Holiday Song Draft,Inessa Frantowski,,,
699,377,Krispy Kreme 2 with Sam Sanders,4.75,"December 1, 2022",Golden Plate Club,includes a rare 6 fork ranking,Krispy Kreme 2,Sam Sanders,,,
700,SP10,Wendy's Frosties,,"December 1, 2022",Snack Pack,,,,,,
701,DD,Biggie Feedbag XLIII with Yusong Liu,,"December 6, 2022",📬,,Biggie Feedbag XLIII,Yusong Liu,,,
702,378,85°C Bakery Cafe with Lauren McGuire,2.67,"December 8, 2022",,,85°C Bakery Cafe,Lauren McGuire,,,
703,SP11,Freaks For All,,"December 8, 2022",Snack Pack,with Shaun Diston,,Shaun Diston,,,
704,DD,The Muppet Christmas Carol with Mark Rennie,,"December 13, 2022",🍽️🎥 💬,Dinner is the Movie; Doughscord Doughcision,The Muppet Christmas Carol,Mark Rennie,,,
705,379,Shake Shack 3 with Evan Susser,3.67,"December 15, 2022",🥩🥤,The Fallout Episode,Shake Shack 3,Evan Susser,,,
706,SP12,Santa's Naughty or Nice List,,"December 15, 2022",Snack Pack,"with Mookie Blaiklock, Emma Erdbrink, Amelia Marino, and Phish671",,Mookie Blaiklock,Emma Erdbrink,Amelia Marino,and Phish671
707,DD,Gorko's Planet Clergmas Spectacular,,"December 20, 2022",🎄,Doughboys Holiday Special,,,,,
708,DD,The Third Annual Drop Off with Emma Erdbrink and Robert Persinger,,"December 27, 2022",🚽,,The Third Annual Drop Off,Emma Erdbrink and Robert Persinger,,,
709,DD,Biggie Feedbag XLIV,,"January 3, 2023",📬,"with Emma Erdbrink, Yusong Liu, and Amelia Marino",,Emma Erdbrink,Yusong Liu,and Amelia Marino,
710,SP13,The Some of The Doughboys Snack Pack,🔓,"January 5, 2023",Snack Pack,"a 'best of' the Snack Pack; with Shaun Diston, Evan Susser, Mookie Blaiklock",,,,,
711,DD,Coffee with Casey Johnston,,"January 10, 2023",💬,Doughscord Doughcision,Coffee,Casey Johnston,,,
712,380,SushiStop with Alie Ward,3.17,"January 12, 2023",,,SushiStop,Alie Ward,,,
713,DD,Cookie Draft with Christine Nangle,,"January 17, 2023",,,Cookie Draft,Christine Nangle,,,
714,381,MIXT with Ryan Perez,2.67,"January 19, 2023",,,MIXT,Ryan Perez,,,
715,DD,Water 4: Avatar: The Way of Water with Sam Saulsbury,,"January 24, 2023",💧🍽️🎥,Dinner is the Movie,Water 4: Avatar: The Way of Water,Sam Saulsbury,,,
716,382,Jack in the Box 2 with Don't Stop or We'll Die,3.81,"January 26, 2023",,,Jack in the Box 2,Don't Stop or We'll Die,,,
717,DD,Dialects with Allan McLeod,,"January 31, 2023",💬,Doughscord Doughcision,Dialects,Allan McLeod,,,
